"",""
"AAAA","AAAA"
"Action","Action"
"Activate subscription","Activate subscription"
"Active","Active"
"Addresses","Addresses"
"After","After"
"After you click the Yes button, the current subscription will be cancelled, the items will be added to cart and you will have to proceed to checkout one more time to change the payment method.","After you click the Yes button, the current subscription will be cancelled, the items will be added to cart and you will have to proceed to checkout one more time to change the payment method."
"Alert Details","Alert Details"
"Allow guest subscriptions","Allow guest subscriptions"
"Amount","Amount"
"Appearance","Appearance"
"Are you sure?","Are you sure?"
"Are you sure you want to activate this subscription?","Are you sure you want to activate this subscription?"
"Are you sure you want to delete this subscription?","Are you sure you want to delete this subscription?"
"Are you sure you want to prolong this subscription?","Are you sure you want to prolong this subscription?"
"Are you sure you want to suspend this subscription?","Are you sure you want to suspend this subscription?"
"As low as:","As low as:"
"Availability: In stock.","Availability: In stock."
"Availability: Out of stock.","Availability: Out of stock."
"Back","Back"
"Before","Before"
"Billing Address","Billing Address"
"Canceled","Canceled"
"Cancel subscription","Cancel subscription"
"Can not add item to shopping cart","Can not add item to shopping cart"
"Can't find implementation of payment method $method","Can't find implementation of payment method $method"
"Can't load products for period that doesn't exist","Can't load products for period that doesn't exist"
"Change Billing Address","Change Billing Address"
"Change Payment Method","Change Payment Method"
"Change Shipping Address","Change Shipping Address"
"Comments History","Comments History"
"Completed payments","Completed payments"
"Country","Country"
"create an account","create an account"
"Create New Alert","Create New Alert"
"Create New Period","Create New Period"
"CSV","CSV"
"Customer","Customer"
"Customer Since","Customer Since"
"Date","Date"
"Days","Days"
"Dear %s","Dear %s"
"Delete","Delete"
"Delivery","Delivery"
"Edit Alert \"%s\"","Edit Alert \"%s\""
"Edit","Edit"
"Edit period \"%s\"","Edit period \"%s\""
"Edit subscription","Edit subscription"
"Email","Email"
"Enable subscriptions","Enable subscriptions"
"Event type","Event type"
"Excl. Tax:","Excl. Tax:"
"Excl. Tax","Excl. Tax"
"Expiration date","Expiration date"
"Expired","Expired"
"expires at %s.","expires at %s."
"expires at %s","expires at %s"
"Expires","Expires"
"First delivery:","First delivery:"
"First delivery","First delivery"
"First Delivery","First Delivery"
"First Name","First Name"
"First Period Price:","First Period Price:"
"General","General"
"Gift Message","Gift Message"
"Group","Group"
"has cancelled the","has cancelled the"
"has subscribed to","has subscribed to"
"Hours","Hours"
"ID","ID"
"Incl. Tax:","Incl. Tax:"
"Incl. Tax","Incl. Tax"
"Items Ordered","Items Ordered"
"Last Name","Last Name"
"Last Order Amount","Last Order Amount"
"Last order state","Last order state"
"link","link"
"log in","log in"
"Main Details","Main Details"
"Monthly delivery","Monthly delivery"
"Months","Months"
"Name","Name"
"Never","Never"
"New subscription","New subscription"
"Next delivery","Next delivery"
"Next Delivery","Next Delivery"
"Next payment","Next payment"
"Next Payment","Next Payment"
"No","No"
"No shipping information available","No shipping information available"
"Notification Template","Notification Template"
"Ordered","Ordered"
"Order #","Order #"
"Order Status","Order Status"
"Order Totals","Order Totals"
"Order was placed using %s","Order was placed using %s"
"or","or"
"Payment Information","Payment Information"
"Payment Method","Payment Method"
"Payments History","Payments History"
"Payments","Payments"
"Pending payments","Pending payments"
"Period Details","Period Details"
"Period","Period"
"Postman Notice","Postman Notice"
"Price","Price"
"Product(s)","Product(s)"
"Products","Products"
"Product was successfully converted to subscription","Product was successfully converted to subscription"
"Prolong subscription","Prolong subscription"
"Recipient","Recipient"
"Refunded","Refunded"
"Regular Price:","Regular Price:"
"Save","Save"
"Select Date","Select Date"
"Selected date is not valid for specified period","Selected date is not valid for specified period"
"Shipped","Shipped"
"Shipping Address","Shipping Address"
"Shipping &amp; Handling Information","Shipping &amp; Handling Information"
"Shipping Method","Shipping Method"
"Show next delivery column at customer","Show next delivery column at customer"
"Show next payment column at customer","Show next payment column at customer"
"Show order amount column at customer","Show order amount column at customer"
"Show postman notice at checkout","Show postman notice at checkout"
"SKU","SKU"
"Sorry, but this product cannot have a subscription","Sorry, but this product cannot have a subscription"
"Sort Order","Sort Order"
"Special Price:","Special Price:"
"Starting at:","Starting at:"
"starts at %s","starts at %s"
"Start","Start"
"State/Province","State/Province"
"Status","Status"
"Store","Store"
"Subscribers","Subscribers"
"Subscription Details - Billing Address","Subscription Details - Billing Address"
"Subscription Details - Shipping Address","Subscription Details - Shipping Address"
"Subscription End","Subscription End"
"Subscription Information","Subscription Information"
"Subscription Notification","Subscription Notification"
"Subscription/recurring payment","Subscription/recurring payment"
"Subscriptions Alerts","Subscriptions Alerts"
"Subscriptions List","Subscriptions List"
"Subscriptions Periods","Subscriptions Periods"
"Subscriptions","Subscriptions"
"Subscription start:","Subscription start:"
"Subscription Start","Subscription Start"
"Subscription Status","Subscription Status"
"subscription","subscription"
"Subscription type:","Subscription type:"
"Subscription type","Subscription type"
"Suspended by customer","Suspended by customer"
"Suspended","Suspended"
"Suspend subscription","Suspend subscription"
"Telephone","Telephone"
"Template","Template"
"Thank for choosing us!","Thank for choosing us!"
"This customer has no completed payments yet.","This customer has no completed payments yet."
"This group is subscription","This group is subscription"
"This subscription already has no pending payments.","This subscription already has no pending payments."
"This subscription is not active. If you want activate it, please click","This subscription is not active. If you want activate it, please click"
"Title","Title"
"To extend the subscription, please follow this","To extend the subscription, please follow this"
"To resume the subscription, please follow the","To resume the subscription, please follow the"
"Total incl. tax","Total incl. tax"
"Total","Total"
"Track order","Track order"
"Unsubscription","Unsubscription"
"Use radio buttons for selecting subscription type","Use radio buttons for selecting subscription type"
"Website","Website"
"Weeks","Weeks"
"We would like to inform that your subscription starts at %s","We would like to inform that your subscription starts at %s"
"We would like to remind you that your","We would like to remind you that your"
"XML","XML"
"Years","Years"
"Yes","Yes"
"You can also buy this product using subscription but in this case you should","You can also buy this product using subscription but in this case you should"
"You can change payment method after first delivery","You can change payment method after first delivery"
"You have canceled","You have canceled"
"You have no subscription payments yet.","You have no subscription payments yet."
"You have no subscriptions","You have no subscriptions"
"You have subscribed to","You have subscribed to"
"ZIP","ZIP"
"Period type(s)","Period type(s)"
"Subscription Price","Subscription Price"
"First period price","First period price"
"On subscription, move to group","On subscription, move to group"
"On unsubscription/expiry, move to group","On unsubscription/expiry, move to group"
"Shipping cost","Shipping cost"
"Allow guest subscriptions","Allow guest subscriptions"
"Repeat each","Repeat each"
"Expires After","Expires After"
"Exclude Weekdays","Exclude Weekdays"
"Require payment before, days","Require payment before, days"
"Subscription Start","Subscription Start"
"Subscription End","Subscription End"
"Next Payment","Next Payment"
"Next Delivery","Next Delivery"
"Subscription type","Subscription type"
"Last order state","Last order state"
"Last Order Amount","Last Order Amount"
"Subscribers list","Subscribers list"
"Periodicity","Periodicity"
"Subscriptions Alerts","Subscriptions Alerts"
"Downloadable subscription/recurring payment","Downloadable subscription/recurring payment"
"Configurable subscription/recurring payment","Configurable subscription/recurring payment"
"Grouped subscription/recurring payment","Grouped subscription/recurring payment"
"Show \"Next payment\" column at customer account","Show \"Next payment\" column at customer account"
"Show \"Next delivery\" column at customer account","Show \"Next delivery\" column at customer account"
"Show \"Order amount\" column at customer account","Show \"Order amount\" column at customer account"
"Show \"Expire date\" column at customer account","Show \"Expire date\" column at customer account"
"Activate on order status","Activate on order status"
"Alerts sender","Alerts sender"
"No subsription","No subsription"
"Delivery notice","Delivery notice"
"Subscription from","Subscription from"
"Last order amount","Last order amount"
"No subscription","No subscription"
"Delivery Notice","Delivery Notice"
"My subscriptions","My subscriptions"
"My Subscriptions","My Subscriptions"
"First Period Price","First Period Price"
"This subscription isn\'t belong this customer!","This subscription isn\'t belong this customer!"
"Oops! Something going wrong and now you have suspended subscriptions.","Oops! Something going wrong and now you have suspended subscriptions."
"You have suspended subscriptions!","You have suspended subscriptions!"
"Period must be more 0","Period must be more 0"
"Can not save period. %s","Can not save period. %s"